page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_18,04014,"กะทกรก, ยอด","Passion fruit, tender tips",59,83.5,7.50,1.20,2.80,3.6,1.40,64,-,-,-,-,-,-,-,13,8495,-,708,tr,0.53,2.03,86,10.48,-,,,,,
food_page_18,04015,"กะเพราขาว, ใบ","Holy basil, sacred basil, white",32,89.2,3.24,0.61,1.41,3.9,1.61,221,50,53,176,307,1.20,0.20,0.80,2,3594,-,300,0.05,0.36,2.11,3,0.85,-,,,,,
food_page_18,04016,"กะเพราแดง, ใบ","Holy basil, sacred basil, red",38,87.6,4.20,0.50,2.30,3.8,1.60,25,287,-,-,-,15.10,-,-,-,7875,-,656,0.04,0.34,1.80,25,-,-,,,,,
food_page_18,04017,"กะหล่ำ, ดอก",Cauliflower,(13),96.4,1.00,0.10,(2.10),(0.5),0.40,22,23,-,-,-,tr,-,-,2,15,-,1,0.02,0.15,0.80,56,-,-,,,,,
food_page_18,04018,"กะหล่ำ, แขนง, ยอดผัก",Brussels sprout,29,90.5,2.99,0.47,1.78,3.1,1.18,49,64,22,110,315,0.51,tr,0.36,4,551,-,46,0.02,0.09,1.20,110,0.14,-,,,,,
food_page_18,04019,กะหล่ำปลี,Cabbage,14,95.3,1.60,0.10,1.00,1.2,0.80,5,76,-,-,-,0.10,-,-,-,42,-,4,0.04,0.22,2.80,23,-,-,,,,,
food_page_18,04020,"กะหล่ำปลี, สีม่วง","Cabbage, red",24,93.0,1.61,0.11,3.06,2.3,0.74,30,40,13,6,293,0.30,tr,0.23,0,7,-,1,0.07,0.05,0.25,68,0.01,-,,,,,
food_page_18,04021,"กะหล่ำ, แขนง",Ka-oom,28,90.9,1.36,0.38,3.10,3.3,0.96,33,34,-,-,-,3.95,-,-,-,3029,-,252,0.33,0.42,2.05,6,-,-,,,,,
food_page_18,04022,"กุยช่าย, ดอก","Chinese leek, flower",27,91.9,2.50,0.30,2.50,2.3,0.50,3,21,-,-,-,-,-,-,0,1346,-,112,0.03,0.43,1.00,28,-,-,,,,,
food_page_18,04023,"ขจร, ดอก","Cowslip creeper, flower",(78),80.5,5.00,1.10,(12.10),(1.6),1.30,70,90,-,-,-,1.00,-,-,-,1800,-,150,0.10,0.10,1.50,45,-,-,,,,,
food_page_18,04024,"ขนุน, อ่อน","Jackfruit, young",35,88.4,1.60,1.00,1.60,6.7,0.70,8,3,-,-,-,0.50,-,-,-,4,-,tr,0.49,0.05,0.70,15,-,-,,,,,
food_page_18,04025,ขมิ้นขาว,Mango ginger,43,87.9,0.95,0.69,6.52,3.7,0.30,22,113,33,-,-,0.12,0.39,-,0,0,-,0,0.03,0.01,0.50,16,-,-,,,,,
food_page_18,04026,"ข้าวโพด, อ่อน","Corn, whole kernel, baby",29,91.8,2.30,0.30,3.20,2.1,0.30,3,32,30,2,244,0.50,tr,0.48,-,12,-,1,0.13,0.15,0.40,23,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_19,04027,"ข้าวสาร, ดอก","Khao san, flower",(39),90.1,2.20,0.60,(6.20),(1.5),0.90,7,25,-,-,-,-,-,-,-,-,-,-,-,0.35,1.80,16,-,-,,,,,
food_page_19,04028,"ข่าอ่อน, หน่อ","Galangal, shoot",(43),89.2,1.28,0.40,(8.60),(0.9),0.55,12,34,79,13,-,0.10,tr,0.48,-,tr,-,tr,0.01,0.17,0.10,28,-,-,,,,,
food_page_19,04029,"ข่าอ่อน, หัว","Galangal, tuber",(26),93.7,1.30,0.30,(4.40),(1.1),0.30,5,27,-,-,-,0.10,-,-,-,2,-,tr,0.24,0.06,0.40,22,-,-,,,,,
food_page_19,04030,"ขิง, แก่","Ginger, mature rhizome",(28),93.5,0.40,0.60,(5.20),(0.8),0.30,18,22,-,-,-,1.20,-,-,-,10,-,1,tr,0.02,1.00,1,-,-,,,,,
food_page_19,04031,"ขิง, อ่อน","Ginger, young rhizome",23,93.2,0.76,0.47,2.53,2.6,0.48,14,25,29,1,-,0.40,tr,0.23,-,11,-,1,0.01,0.01,0.10,7,-,-,,,,,
food_page_19,04032,"ขี้เหล็ก, ดอก","Cassia, flower",78,74.7,4.90,0.40,8.90,9.8,1.30,13,4,-,-,-,1.60,-,-,-,233,-,19,0.11,-,1.80,484,0.00,-,,,,,
food_page_19,04033,"ขี้เหล็ก, ยอด และ ใบอ่อน","Cassia, tender tips and leaves",76,78.4,7.70,1.40,5.30,5.6,1.60,156,190,-,-,-,5.80,-,-,-,1399,-,117,0.04,0.69,1.30,110,0.00,-,,,,,
food_page_19,04034,คืนช่าย,Celery,18,93.3,1.60,0.50,0.50,2.6,1.50,93,40,-,-,-,-,-,-,-,1828,-,152,0.02,0.19,0.60,30,1.43,-,,,,,
food_page_19,04035,คูน,Green taro,(12),95.9,0.50,0.10,(2.30),(0.8),1.20,115,30,-,-,-,1.30,-,-,2,126,-,11,0.03,0.01,0.40,6,-,-,,,,,
food_page_19,04036,"แค, ดอก","Sesbania, flower",25,90.1,2.10,0.20,0.00,7.2,0.70,2,57,-,-,-,1.20,-,-,-,77,-,6,0.09,0.49,0.50,35,-,-,,,,,
